chunk_id,parent_doc_id,chunk_text,chunk_order,page_ref
MOSPI-M03_CH0010,MOSPI-M03,"services, defence services, financial services, transport services, trading
services, domestic services, sanitary services, government services, etc. 1.3 All goods produced during the period have to be included whether they
are marketed i.e., exchanged for money or bartered or produced for own use.
For example, some of the products of agriculture, forestry and fishing ar e
used for own consumption of producer s and therefore an imputed value of
these products are also to be included. Similarly, all services produced are
required to be included, excepting those for own final consumption. However,
exception t o this rule of services out put, are rental of buildings which are
owned and occupied by the owners them selves and service produced by paid
domestic servants. Own account construction activities are also similarly to be
included. 1.4 Another important featur e of the measure is that it is an unduplicated
value of output or in other words only the value added at each stage of
processing is taken into account whil e measuring the total, i.e., in the
measurement of nati onal output a distinct ion is made between ""final"" and
""intermediate"" products and unduplic ated total is one that is confined to the
value of the final produc ts and exc ludes all intermediate products. To use a
simple example, if the production pr ocess during a year i nvolves the
production of wheat, its milling into flour and the baking of bread which is so ld
to consumers then the value of national output should equal t he final value of
the bread and should not c ount the separate value of the wheat and flour
4",10,6
MOSPI-M03_CH0011,MOSPI-M03,"CHAPTER 1
which have been used up in the course of producing bread. Thus the national
product is not the total value of goods and services produced but only the
value of the final product excluding the v alue of inpu ts of raw materials and
services used in the process of production.",11,7
MOSPI-M03_CH0012,MOSPI-M03,"National Product and National Income
1.5 The national product measures all goods and servic es arising out of
economic activity while national income is the sum of all inc omes as a result
of the economic activity. These two are synonymous. Since the production of
goods and services is the result of t he use of primary factors of inputs,
namely, capital and labour, along with the raw materials, the process
automatically generates income. This income is in the form of return to capital
and labour used in production process. For example the total product
originating in a firm making steel could be obtained by adding the total product
and then deducting the interm ediate product to obtain the valu e added. The
value added of this firm consists of t he income that accrued in the course of
production, namely, wages and salaries and operating surplus . Thus the
product of a firm must be income to som eone whether it is their employees in
the form of employment income or to the owners in the form of operating
surplus. Hence, the unduplicat ed produc tion is equivalent to the income
which accrues to the factors of production. In other words national income of
a country can also be viewed in terms of the money v alue of inc ome flowing
from the producing units to factors of production. National income is not
simply an aggregate of all in comes. It includes only those incomes which are
derived dir ectly from the current produc tion of goo ds and services called
factor incomes. Other forms of i ncome such as old age pens ions, education
grants, unemployment benefits, gifts etc., cannot be regarded as payments for
current services to production. They are paid out of factor incomes and a re
called transfer incomes. Payments fo r which no goods or s ervices are
received in return",12,7
MOSPI-M03_CH0013,MOSPI-M03,"to production. They are paid out of factor incomes and a re
called transfer incomes. Payments fo r which no goods or s ervices are
received in return are, therefore, te rmed as transfer paym ents. The national
income, being the v alue of goods and services bec oming available c annot
include both factor incomes and transfer incomes.",13,7
MOSPI-M03_CH0014,MOSPI-M03,"National Product and Expenditure
1.6 The production within the economy over a given period of time is spent
either for consumption of its members or for addition of fixed assets or for
addition to the stock of existing productive assets within the country. Hence,
production can also be measured by c onsidering the expendit ure of those
who purchase the finished or final goods and s ervices. The national
expenditure is the sum of expenditure of all spendin g of institutional sectors
viz., government, households, non-profit in stitutions serving households and
enterprises. Here also, it is necessary to include only the expenditures on
""final use"" in order to avoid duplication i.e., one has to omit the network of
intermediate sales of all products needed in further production. The
expenditure on final goods and servic es may be purely for consumption
purposes like cons umption of food, clot hing, shelter; services etc., or for
capital for mation suc h as addition to buildings, plant, machiner y, transpor t",14,7
MOSPI-M03_CH0015,MOSPI-M03,"""final use"" in order to avoid duplication i.e., one has to omit the network of
intermediate sales of all products needed in further production. The
expenditure on final goods and servic es may be purely for consumption
purposes like cons umption of food, clot hing, shelter; services etc., or for
capital for mation suc h as addition to buildings, plant, machiner y, transpor t
equipment, etc. Some goods may not be immediately sold and may be kept
aside as stocks. These goods which are added to stocks are also accounted
for as final expenditure.
5",15,7
MOSPI-M03_CH0016,MOSPI-M03,"CHAPTER 1 Production/Income/Expenditure
1.7 It may be noted from the abov e discussion that the national inc ome of
a country can be measured in three di fferent ways, from the angle of
production, from income genera tion and fr om final utiliz ation. These thre e
forms are circular in nature. It begins at the production stage where the
productive units engage capital and labo ur and turn out goods and services,
the total measure of which gives t he national product. This production
process generates a given amount of mo ney income which is distributed by
the productive units to the factors of production, namely, capital and labour.
The meas ure of income this way indi cates the share of national product
distributed to the factors of production or in other words the national income
by factor shares. The income thus received by the factors of production is
then spent either by the labour in their capacity as households in terms of
acquisition and cons umption of goods and services or by the producers in
acquiring more capital and thus incr easing the physical as sets of their
production units. The national income by definition is the same whether
measured at the point of production or at the point of income generation or at
the point of final utilis ation. In other words the total of net output, incom e
flows and final expenditure will be identic al. The significance of each arises
from the fact that they re flect total operations of the economy at the levels o f
three basic economic functions, nam ely, production, distribution an d
disposition.",16,8
MOSPI-M03_CH0017,MOSPI-M03,"at they re flect total operations of the economy at the levels o f
three basic economic functions, nam ely, production, distribution an d
disposition. Production
1.8 Although national inc ome can be m easured in any one of the three
alternative approaches but if a complete analysis of the economy is the object
then it should be measur ed by all the three different approaches. F or
measurement of national income at the point of production, the method
generally followed is to divide the whole economy into a given set of economic
activities and to estimate the total value of output and the corresponding value
of inputs of raw materi als and services used for producti on and then arrive at
the value added of each sector as a tota l value of output minus the value of
inputs of raw materials and services. In the case of services, valu e added is
measured in terms of the total amount of money paid in return for the services
received minus the cost of inputs like expenditure on transport, advertisement,
and other miscellaneous services. Forms of income
1.9 As has already been pointed out the net value added available for each
unit of production is equal to the amount of income generated by the unit in
the process of production. This income is distributed between the two primary
factor inputs, namely, capital and labour. In other words, income is distributed
in the form of either capital income to the owner of the capital or labour
income to the labour employed. The distinction between employment income
and profits (operating surplus) cannot be made in the case of incomes of
persons working on their own accoun t. Such incomes are, therefore,
separately classified as mixed income of the self employed. 6",17,8
MOSPI-M03_CH0018,MOSPI-M03,"CHAPTER 1
1.10 The labour income takes the fo rm of either wages and s alaries
including c ommission, pensionar y benefit s, bonus, et c., or supplementary
contribution of the employers towards payments in kind. 1.11 Some portion of operating surplus is retained by the producer whic h
remains undistributed and is partly used for further investment and balance is
distributed. The distributed capital income is mainly in the form of dividends ,
interest and rent. The rent in the Indian context includes not only rent on land
but also rent on buildings and structures. The capital income other than profit
retained by enterprises distributed to the owners of capital who are either
individuals or enterprises in the form of dividends . The mixed inc ome
generally accrues to the self-employed people who e mploy their own capit al
and labour for production. T his incom e cons ists partly of profits of
unincorporated enterprises and partly of labour incom e of the self employed.
Thus the t otal inc ome generated in the fo rm of factor shares c onsists of (i)
wages & s alaries (ii) interest, (iii) ren t, (iv) divide nds, (v) undistributed profits,
and (vi) mixed income of self employed. Categories of expenditure
1.12 The income available to the indivi duals in the form of labour income or
capital income or to the productive units in the form of retained income is then
spent. This utilisatio n of the income can take various forms, namely, (a)
household consum ption expenditure , (b) government consum ption
expenditure, and capital formation comp rising fixed capita l formation, and
stock accumulation.",18,9
MOSPI-M03_CH0019,MOSPI-M03,"onsum ption expenditure , (b) government consum ption
expenditure, and capital formation comp rising fixed capita l formation, and
stock accumulation. Household consumption expenditure
1.13 The household consumption expenditu re r eferred to as private final
consumption expenditure (PFCE) in National A ccounts Statistics (NAS),
consists of expenditure by households (i ncluding non-profit institutions) on
non-durable consumer goods and services and all durable goods except land
and buildings. 1.14 The durable goods are defined as thos e whose life time are more than
one year and consist of items such as furniture, radios, televisions,
automobiles, etc. Purchas e and construction of resi dential buildings are not
treated as consumption expenditure of the households but are included in the
gross capital formation. In the case of owner occupied buildings , the imputed
rent is included in the final consumpti on expenditure. Similarly, the primary
products of sectors lik e agriculture, forestry, fishing etc ., which ar e produced
for own c onsumption by the household s will form part of c onsumption
expenditure. Payments for domestic services which one hou sehold renders
to another, such as services of maid servants, cooking, child nursing and
gardening are also included under consumption. However, as in th e
production measurement, activities such as cooking meals, scrubbing floor
and minding children undertaken by hou sehold members fall outside th e
production boundary and are, therefore, excluded from consumption
expenditure as well. Government final consumption expenditure
7",19,9
MOSPI-M03_CH0020,MOSPI-M03,"CHAPTER 1
1.15 The conc ept of government consumption expenditure has been
debated by economist s for a long time. The role of the government in the
economy is essentially different from that of enterprises and house holds. To
cite a few examples, the government o ffers services both to entrepreneurs
and consumers and in most cases it receives no payment for that or even if it
does receive payment, the same is likel y to bear little or no relation to the
value of the services to the user. In the course of organising collective
services such as defence, justic e, health and education, government
purchases the services of its offi cials and also many non-durable goods and
other services from other suppliers. Since these services are rendered free,
these do not appear in the hous ehold consumer expenditure. These services
are not only of economic value, but also create real final consumption value to
the people. It is, therefore, necessa ry to recko n them in the national
expenditure. Once it is agreed to include government services as part of
national expenditure, it would be necessa ry to find methods for valuing the
services. Since thes e collective services are not sold, they can be valued in
money terms only by adding up the money spent by the government in buying
these services of teachers, doctors, public administ rative employees, the
armed forces etc., together with the goods and other materials purchased.
This total is the consumption expenditure of the government and it consists of
purchase of non-durable g oods and ser vices by t he government. By
convention, expenditure on durable goods which are us ed for defence is also
treated as part of consumption expenditure of the government.",20,10
MOSPI-M03_CH0021,MOSPI-M03,"ernment. By
convention, expenditure on durable goods which are us ed for defence is also
treated as part of consumption expenditure of the government. Gross capital formation
1.16 Gross capital formation consists of the acquisition of fixed assets and
the accumulation of stocks. Fixed a ssets are physical productive assets,
examples of which are buildings, civil wo rks, machinery, vehicles etc. The
stock accumulation is in the form of changes in stock of raw materials, fuels,
finished goods and s emi-finished goods aw aiting completion. Thus gross
capital formation is that part of count ry's total expenditure which is not
consumed but added to the nation's fixed tangible assets and stocks. Saving
1.17 Saving represents the exc ess of current income over current
expenditure of various sect ors of the economy. It is the balancing item on the
income and outlay accounts of t he producing enterprises, households,
government administrati on and other final cons umers. For the closed
economy s avings equals capital formati on during the year wher eas for the
open economy savings equals capital forma tion plus net capital inflow from
abroad during the year. Private Income
1.18 Some of the national income acc rues to the governme nt in the form of
property income of government depar tments and profits of government
enterprises. The government also make s transfer payments to private sector
in the form of grants, social sec urity payments, gifts, et c. The government
pays interest on national debt which accr ues to the private sector. Private
income is a measure of the income der ived from national inc ome by addin g
the sum of government transfer payment s and interes t on national debt and",21,10
MOSPI-M03_CH0022,MOSPI-M03,"enterprises. The government also make s transfer payments to private sector
in the form of grants, social sec urity payments, gifts, et c. The government
pays interest on national debt which accr ues to the private sector. Private
income is a measure of the income der ived from national inc ome by addin g
the sum of government transfer payment s and interes t on national debt and
8",22,10
MOSPI-M03_CH0023,MOSPI-M03,"CHAPTER 1
subtracting the property income of government department s and profits of
government enterprises. 1.19 Transfer payments result from trans actions which do not give rise to
the exchange of commodities or factor services. A payment of money is
made without a correspondi ng flow of goods and s ervices in the opposit e
direction. It is the gener al practice to consider in national acc ounts only
payments which are in exchange for goods and services as contributing to
output. So transfer payments are not shown in the major accounts as a n
addition to total product. The value of transfer payments to households is
included in the income aggregate of private income. Personal Income
1.20 Personal income is a measure of t he actual current income receipt of
persons from all sources. It differs from private income in that it excludes the
undistributed profits which accr ue to Priv ate Sector but ar e not received by
persons. It also exc ludes the expend iture tax paid to government by the
Private Corporate Sector. It is derived from private in come by subtracting the
savings of the private corporate sector and the corporation tax. Personal Disposable Income
1.21 Even the above subtractions are not sufficient to derive per sonal
income which is actually available fo r spending. Dispos able personal income
is derived from personal income by subtracting the direct taxes paid by
individuals and other compulsory payments made to the government. It is a
measure of amount of the money in the hands of the individuals and available
for their consumption or savings.",23,11
MOSPI-M03_CH0024,MOSPI-M03,"ayments made to the government. It is a
measure of amount of the money in the hands of the individuals and available
for their consumption or savings. National versus Domestic Concept
1.22 The discussion so far did not make any distinction between national or
domestic income. The concept of nationa l versus domestic arises because of
the fact that the economy is not closed in the sens e that it has transactions
with the rest of the world in the form of exports and imports, gifts, loans, factor
income flows etc. 1.23 National income or product is that income or product which accr ues to
the economic agents who are resident of the country. Most of the national
income is derived from economic activity within the country. But some income
arises due to the activities of the re sidents outside the country. Similarly,
some of the product or income arisin g in the country may be due to the
activities of the non-residents. The difference between these two flows is
referred to as net factor income from abroad. 1.24 The meas ure of production arising out of the activities of economic
agents within the c ountry is termed as do mestic product even if a part of that
income ac crues to non-resident s. When adjustments are made to this
product by deducting the income of non-residents within the country and
adding the income of residents abroad, the national product is obtained .
Hence, the difference between the nati onal and domestic concept is the net
9",24,11
MOSPI-M03_CH0025,MOSPI-M03,"CHAPTER 1
factor income from abroad and in a closed economy national and domestic
incomes are synonymous. 1.25 If the desire is to measure the acti vity within the country, interest is
centered on the location of the factors employed in production. The measure
of output of factors located in the country irrespective of ownership will be the
domestic product. The importance of th e distinction between location and
ownership lies in the simple fact that fl ows of factor income directed out of the
country produces benefits el sewhere. The receivers of that income will b e
unlikely to spend it on the purchase of the out put of the country from which it
came. The money will be spent in the country of the residence of th e
receivers and it is to these coun tries that the benefits will accru e. In some
countries t hese flows are relatively un important. In some other countries
where a large part of the capital stock is foreign owned these flows may b e
relatively large. In such cases a signi ficant part of domestic income might be
part of nati onal income of another country . In many countri es there are also
important examples of in ternational flows of wage payments since migrant
labour is very important in these countries. 1.26 The relation of the domestic to nat ional income is perfectly straight
forward in principle; the former is mere ly adjusted for net fa ctor income from
abroad.",25,12
MOSPI-M03_CH0026,MOSPI-M03,"ion of the domestic to nat ional income is perfectly straight
forward in principle; the former is mere ly adjusted for net fa ctor income from
abroad. Gross Versus Net Value Added
1.27 The discussion thus far has been c entered on the economic activity of
the nation before any charges for cons umption of fixed c apital (CFC) or
depreciation are deducted. The aggregates include as part of the value of
current output, the value of capital se rvices consumed in the production of
output. It i s desirable to have accounts which show the output net of capital
consumption allowances. Thus the national income could be measured either
as on a gross basis or on a net basis. The difference between the two is that
in the gross estimates no deduction is m ade for CFC which takes place in the
process of production, whereas in t he net measure such allowances are
made. Capital is one of the primary factors used in production and this results
in the CFC and hence, a reduction in the ec onomic life of the capital. In other
words, the capital depreciates as a re sult of its use in the process of
production. The CF C measures the r eplacement value of the part of the
capital stock which has been used up in t he production process during the
year.",26,12
MOSPI-M03_CH0027,MOSPI-M03,"oduction. The CF C measures the r eplacement value of the part of the
capital stock which has been used up in t he production process during the
year. Factor Cost versus Market Prices
1.28 The production and income appr oach measures the domestic product
as the cost paid to the factors of production and is known as domestic product
at factor cost. However, the various forms of final out put when considered
from the point of expenditure are valued at market prices i.e., the actual price
which either the consumers or produc ers pay for purchase of goods an d
services whether for consumption or fo r in vestment. This measurement is
called the expenditure at market pric es. When v alued in t his way this
measure will be different from the product or income m easure at factor cost.
The market value of the goods and services will include the indirect taxes like",27,12
MOSPI-M03_CH0028,MOSPI-M03,"which either the consumers or produc ers pay for purchase of goods an d
services whether for consumption or fo r in vestment. This measurement is
called the expenditure at market pric es. When v alued in t his way this
measure will be different from the product or income m easure at factor cost.
The market value of the goods and services will include the indirect taxes like
10",28,12
MOSPI-M03_CH0029,MOSPI-M03,"CHAPTER 1
excise duties, customs, sales tax etc., levied by the government on goods and
services. Similarly, the price paid by the consumer will not include any
subsidy which the government pays to the producer. Hence, the market value
of final expenditure would exc eed the to tal obtained at factor cost by the
amount of indirect taxes reduc ed by the value of s ubsidies. Domestic or
national product can, theref ore, be measured either at market prices or at
factor cost one differing from the other by the amount of net i ndirect taxes
(indirect taxes less subsidies). 1.29 Indirect taxes are t axes assess ed in respect of production, sale,
purchase or use of goods and s ervices of producers which they c harge to the
expenses. The main taxes in t his ca tegory are excis e duties, Value added
tax, sales tax, import and export duties, en tertainment tax etc. T heir effect is
to make the prices paid in a transaction higher from the actu al receipts of the
factor of production involv ed. Direct taxes do not ha ve the same effect sinc e
they do not impinge directly on trans action but are levied directly on th e
income. Indirect taxes are, therefor e, added to obtain estimates at market
price from that at factor cost. 1.30 Subsidies include all grants on current account which indus tries
recover from the government. As a matter of long-standing c onvention,
subsidies are regarded as pay ments necessa ry to elic it factor services.
Accordingly they are inc luded in the su m of factor incomes. They must,
therefore, be subtracted if the estimates are required at market prices.",29,13
MOSPI-M03_CH0030,MOSPI-M03,"ces.
Accordingly they are inc luded in the su m of factor incomes. They must,
therefore, be subtracted if the estimates are required at market prices. Current versus Constant Prices
1.31 National income regardless of t he conc ept is obviously measured at
prices prevailing during the period or in other words at current pri ces. When
calculated over a number of years, the changes in national inc ome would,
therefore, include implicitly not only the effect of the changes in production but
also the c hanges in prices. This es timate compared over the period would
not, therefore, give a proper measure of the overall real increase in production
of the country or the economic welf are of the people or gr owth of the
economy. Therefore, it w ould be necessary to elimin ate the effect of prices,
or in other words to recompute the w hole series at given prices of one
particular base year. National income thus computed is termed as national
income at constant prices or in real terms. 1.32 The national income in real terms provides a measure of the growth of
the economy. When available by industr y of origin, these estim ates give a
measure of the structural changes in t he pattern of production in the country
which is v ital for economic analysis. The distribution of national income by
factor shares measures the changes in th e shares of either labour or capital
or individual partly owning capit al and partly contributing labour. This reflects
not only the variation in t he productivity of these gr oups but also changes in
their respective ownership position. Fi nally, at the point of utilisation, the
change in the shares of either consumpt ion expenditure or capital formation",30,13
MOSPI-M03_CH0031,MOSPI-M03,"factor shares measures the changes in th e shares of either labour or capital
or individual partly owning capit al and partly contributing labour. This reflects
not only the variation in t he productivity of these gr oups but also changes in
their respective ownership position. Fi nally, at the point of utilisation, the
change in the shares of either consumpt ion expenditure or capital formation
give an idea of the common welfare of the people and changes therein as well
as the extent by which the capital asse ts of the country are either increasing
or decreasing.
11",31,13
MOSPI-M03_CH0032,MOSPI-M03,"CHAPTER 1

1.33 There are several other terms whic h need t o be defined in the context
of national accounts. For ready reference the Glossary of Main Terms used in
NAS given in this publication may be referred to.
Economic performance indicators

Indicators Interpretation
GDP rate of growth

The performance of the economy
GDP per capita The level of economic development in
comparison to other countries

Compensation of employees per work hour

Labour cost
Compensation of employees/gross value added

Income share of employees in GDP
Operating surplus/ gross value added

Income share of capital in GDP
Gross capital formation / GDP

Investment rate of the nation
Saving/GDP

Saving rate of the nation
Saving/gross fixed capital formation

Domestic funding of investment
Saving of an institutional sector/ total saving

Contribution of each sector to total saving
Saving of households/disposable income of
households
Saving rate of households

***
12",32,14
